location_id,latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
0,-6,16,NaN,0,GMT,GMT
1,-6,16.25,NaN,0,GMT,GMT
2,-6,16.5,NaN,0,GMT,GMT
3,-6,16.75,NaN,0,GMT,GMT
4,-6,17,NaN,0,GMT,GMT
5,-6,17.25,NaN,0,GMT,GMT
6,-6,17.5,NaN,0,GMT,GMT
7,-6,17.75,NaN,0,GMT,GMT
8,-6,18,NaN,0,GMT,GMT
9,-6,18.25,NaN,0,GMT,GMT
10,-6,18.5,NaN,0,GMT,GMT
11,-6,18.75,NaN,0,GMT,GMT
12,-6,19,NaN,0,GMT,GMT
13,-6,19.25,NaN,0,GMT,GMT
14,-6,19.5,NaN,0,GMT,GMT
15,-6,19.75,NaN,0,GMT,GMT
16,-5.75,16,NaN,0,GMT,GMT
17,-5.75,16.25,NaN,0,GMT,GMT
18,-5.75,16.5,NaN,0,GMT,GMT
19,-5.75,16.75,NaN,0,GMT,GMT
20,-5.75,17,NaN,0,GMT,GMT
21,-5.75,17.25,NaN,0,GMT,GMT
22,-5.75,17.5,NaN,0,GMT,GMT
23,-5.75,17.75,NaN,0,GMT,GMT
24,-5.75,18,NaN,0,GMT,GMT
25,-5.75,18.25,NaN,0,GMT,GMT
26,-5.75,18.5,NaN,0,GMT,GMT
27,-5.75,18.75,NaN,0,GMT,GMT
28,-5.75,19,NaN,0,GMT,GMT
29,-5.75,19.25,NaN,0,GMT,GMT
30,-5.75,19.5,NaN,0,GMT,GMT
31,-5.75,19.75,NaN,0,GMT,GMT
32,-5.5,16,NaN,0,GMT,GMT
33,-5.5,16.25,NaN,0,GMT,GMT
34,-5.5,16.5,NaN,0,GMT,GMT
35,-5.5,16.75,NaN,0,GMT,GMT
36,-5.5,17,NaN,0,GMT,GMT
37,-5.5,17.25,NaN,0,GMT,GMT
38,-5.5,17.5,NaN,0,GMT,GMT
39,-5.5,17.75,NaN,0,GMT,GMT
40,-5.5,18,NaN,0,GMT,GMT
41,-5.5,18.25,NaN,0,GMT,GMT
42,-5.5,18.5,NaN,0,GMT,GMT
43,-5.5,18.75,NaN,0,GMT,GMT
44,-5.5,19,NaN,0,GMT,GMT
45,-5.5,19.25,NaN,0,GMT,GMT
46,-5.5,19.5,NaN,0,GMT,GMT
47,-5.5,19.75,NaN,0,GMT,GMT
48,-5.25,16,NaN,0,GMT,GMT
49,-5.25,16.25,NaN,0,GMT,GMT
50,-5.25,16.5,NaN,0,GMT,GMT
51,-5.25,16.75,NaN,0,GMT,GMT
52,-5.25,17,NaN,0,GMT,GMT
53,-5.25,17.25,NaN,0,GMT,GMT
54,-5.25,17.5,NaN,0,GMT,GMT
55,-5.25,17.75,NaN,0,GMT,GMT
56,-5.25,18,NaN,0,GMT,GMT
57,-5.25,18.25,NaN,0,GMT,GMT
58,-5.25,18.5,NaN,0,GMT,GMT
59,-5.25,18.75,NaN,0,GMT,GMT
60,-5.25,19,NaN,0,GMT,GMT
61,-5.25,19.25,NaN,0,GMT,GMT
62,-5.25,19.5,NaN,0,GMT,GMT
63,-5.25,19.75,NaN,0,GMT,GMT
64,-5,16,NaN,0,GMT,GMT
65,-5,16.25,NaN,0,GMT,GMT
66,-5,16.5,NaN,0,GMT,GMT
67,-5,16.75,NaN,0,GMT,GMT
68,-5,17,NaN,0,GMT,GMT
69,-5,17.25,NaN,0,GMT,GMT
70,-5,17.5,NaN,0,GMT,GMT
71,-5,17.75,NaN,0,GMT,GMT
72,-5,18,NaN,0,GMT,GMT
73,-5,18.25,NaN,0,GMT,GMT
74,-5,18.5,NaN,0,GMT,GMT
75,-5,18.75,NaN,0,GMT,GMT
76,-5,19,NaN,0,GMT,GMT
77,-5,19.25,NaN,0,GMT,GMT
78,-5,19.5,NaN,0,GMT,GMT
79,-5,19.75,NaN,0,GMT,GMT
80,-4.75,16,NaN,0,GMT,GMT
81,-4.75,16.25,NaN,0,GMT,GMT
82,-4.75,16.5,NaN,0,GMT,GMT
83,-4.75,16.75,NaN,0,GMT,GMT
84,-4.75,17,NaN,0,GMT,GMT
85,-4.75,17.25,NaN,0,GMT,GMT
86,-4.75,17.5,NaN,0,GMT,GMT
87,-4.75,17.75,NaN,0,GMT,GMT
88,-4.75,18,NaN,0,GMT,GMT
89,-4.75,18.25,NaN,0,GMT,GMT
90,-4.75,18.5,NaN,0,GMT,GMT
91,-4.75,18.75,NaN,0,GMT,GMT
92,-4.75,19,NaN,0,GMT,GMT
